"D. Gray-Man - Road Kamelot Song"

# Acoustic Grand Piano
0.00000 0.00000 0.00000
0.07000 50.00000 69.00000
0.14000 50.00000 69.00000
0.21000 50.00000 69.00000
0.28000 50.00000 69.00000
0.35000 50.00000 69.00000
0.42000 50.00000 69.00000
0.49000 50.00000 69.00000
0.56000 50.00000 69.00000
0.63000 50.00000 69.00000
0.70000 50.00000 69.00000
0.77000 0.00000 0.00000
0.84000 57.00000 71.00000
0.91000 57.00000 71.00000
0.98000 57.00000 71.00000
1.05000 57.00000 71.00000
1.12000 57.00000 71.00000
1.19000 57.00000 71.00000
1.26000 57.00000 71.00000
1.33000 57.00000 71.00000
1.40000 57.00000 71.00000
1.47000 57.00000 71.00000
1.54000 52.00000 67.00000
1.61000 52.00000 67.00000
1.68000 52.00000 67.00000
1.75000 52.00000 67.00000
1.82000 52.00000 67.00000
1.89000 52.00000 67.00000
1.96000 52.00000 67.00000
2.03000 52.00000 67.00000
2.10000 52.00000 67.00000
2.17000 52.00000 67.00000
2.24000 0.00000 0.00000
2.31000 59.00000 71.00000
2.38000 59.00000 71.00000
2.45000 59.00000 71.00000
2.52000 59.00000 71.00000
2.59000 59.00000 71.00000
2.66000 59.00000 71.00000
2.73000 59.00000 71.00000
2.80000 59.00000 71.00000
2.87000 59.00000 71.00000
2.94000 59.00000 71.00000
3.01000 50.00000 69.00000
3.08000 50.00000 69.00000
3.15000 50.00000 69.00000
3.22000 50.00000 69.00000
3.29000 50.00000 69.00000
3.36000 50.00000 69.00000
3.43000 50.00000 69.00000
3.50000 50.00000 69.00000
3.57000 50.00000 69.00000
3.64000 50.00000 69.00000
3.71000 0.00000 0.00000
3.78000 57.00000 71.00000
3.85000 57.00000 71.00000
3.92000 57.00000 71.00000
3.99000 57.00000 71.00000
4.06000 57.00000 71.00000
4.13000 57.00000 71.00000
4.20000 57.00000 71.00000
4.27000 57.00000 71.00000
4.34000 57.00000 71.00000
4.41000 57.00000 71.00000
4.48000 0.00000 0.00000
4.55000 52.00000 67.00000
4.62000 52.00000 67.00000
4.69000 52.00000 67.00000
4.76000 52.00000 67.00000
4.83000 52.00000 67.00000
4.90000 52.00000 67.00000
4.97000 52.00000 67.00000
5.04000 52.00000 67.00000
5.11000 52.00000 67.00000
