"He's a Pirate"

# Right Hand
0.000000 62 108
0.070000 62 108
0.140000 62 108
0.210000 62 108
0.350000 62 108
0.420000 62 108
0.490000 62 108
0.560000 62 108
0.630000 62 108
0.700000 62 108
0.770000 62 108
0.840000 62 108
0.910000 62 108
0.980000 62 108
1.050000 62 108
1.120000 62 108
1.260000 62 108
1.330000 62 108
1.400000 62 108
1.470000 62 108
1.540000 62 108
1.610000 62 108
1.680000 62 108
1.750000 62 108
1.820000 62 108
1.890000 62 108
1.960000 62 108
2.030000 62 108
2.100000 62 108
2.170000 62 108
2.310000 62 108
2.380000 62 108
2.450000 62 108
2.520000 62 108
2.590000 62 108
2.660000 62 108
2.730000 62 108
2.800000 62 108
2.870000 62 108
2.940000 62 108
3.010000 62 108
3.080000 62 108
3.150000 62 108
3.220000 62 108
3.360000 62 108
3.430000 62 108
3.500000 62 108
3.570000 62 108
3.640000 62 108
3.710000 62 108
3.780000 62 108
3.850000 62 108
3.920000 62 108
3.990000 62 108
4.060000 62 108
4.130000 62 108
4.200000 62 108
4.270000 62 108
4.410000 62 108
4.480000 62 108
4.550000 62 108
4.620000 62 108
4.690000 62 108
4.760000 62 108
4.830000 62 108
4.900000 62 108
4.970000 62 108
5.040000 62 108
5.110000 57 108
5.180000 57 108
5.250000 60 108
5.320000 60 108
5.460000 53 108
5.530000 53 108
5.600000 53 108
5.670000 53 108
5.460000 57 108
5.530000 57 108
5.600000 57 108
5.670000 57 108
5.460000 62 108
5.530000 62 108
5.600000 62 108
5.670000 62 108
5.740000 53 108
5.810000 53 108
5.880000 53 108
5.950000 53 108
5.740000 57 108
5.810000 57 108
5.880000 57 108
5.950000 57 108
5.740000 62 108
5.810000 62 108
5.880000 62 108
5.950000 62 108
6.020000 53 108
6.090000 53 108
6.020000 57 108
6.090000 57 108
6.020000 62 108
6.090000 62 108
6.160000 57 108
6.230000 57 108
6.160000 60 108
6.230000 60 108
6.160000 64 108
6.230000 64 108
6.300000 58 108
6.370000 58 108
6.440000 58 108
6.510000 58 108
6.300000 62 108
6.370000 62 108
6.440000 62 108
6.510000 62 108
6.300000 65 108
6.370000 65 108
6.440000 65 108
6.510000 65 108
6.650000 58 108
6.720000 58 108
6.790000 58 108
6.860000 58 108
6.650000 62 108
6.720000 62 108
6.790000 62 108
6.860000 62 108
6.650000 65 108
6.720000 65 108
6.790000 65 108
6.860000 65 108
6.930000 58 108
7.000000 58 108
6.930000 62 108
7.000000 62 108
6.930000 65 108
7.000000 65 108
7.070000 62 108
7.140000 62 108
7.070000 67 108
7.140000 67 108
7.210000 57 108
7.280000 57 108
7.350000 57 108
7.420000 57 108
7.210000 60 108
7.280000 60 108
7.350000 60 108
7.420000 60 108
7.210000 64 108
7.280000 64 108
7.350000 64 108
7.420000 64 108
7.560000 57 108
7.630000 57 108
7.700000 57 108
7.770000 57 108
7.560000 60 108
7.630000 60 108
7.700000 60 108
7.770000 60 108
7.560000 64 108
7.630000 64 108
7.700000 64 108
7.770000 64 108
7.840000 57 108
7.910000 57 108
7.840000 62 108
7.910000 62 108
7.980000 55 108
8.050000 55 108
7.980000 60 108
8.050000 60 108
8.120000 57 108
8.190000 57 108
8.120000 60 108
8.190000 60 108
8.260000 57 108
8.330000 57 108
8.400000 57 108
8.470000 57 108
8.260000 62 108
8.330000 62 108
8.400000 62 108
8.470000 62 108
8.750000 57 108
8.820000 57 108
8.890000 60 108
8.960000 60 108
9.030000 53 108
9.100000 53 108
9.170000 53 108
9.240000 53 108
9.030000 58 108
9.100000 58 108
9.170000 58 108
9.240000 58 108
9.030000 62 108
9.100000 62 108
9.170000 62 108
9.240000 62 108
9.310000 53 108
9.380000 53 108
9.450000 53 108
9.520000 53 108
9.310000 58 108
9.380000 58 108
9.450000 58 108
9.520000 58 108
9.310000 62 108
9.380000 62 108
9.450000 62 108
9.520000 62 108
9.660000 58 108
9.730000 58 108
9.660000 62 108
9.730000 62 108
9.800000 58 108
9.870000 58 108
9.800000 64 108
9.870000 64 108
9.940000 57 108
10.010000 57 108
10.080000 57 108
10.150000 57 108
9.940000 60 108
10.010000 60 108
10.080000 60 108
10.150000 60 108
9.940000 65 108
10.010000 65 108
10.080000 65 108
10.150000 65 108
10.220000 57 108
10.290000 57 108
10.360000 57 108
10.430000 57 108
10.220000 60 108
10.290000 60 108
10.360000 60 108
10.430000 60 108
10.220000 65 108
10.290000 65 108
10.360000 65 108
10.430000 65 108
10.500000 60 108
10.570000 60 108
10.500000 65 108
10.570000 65 108
10.710000 60 108
10.780000 60 108
10.710000 67 108
10.780000 67 108
10.850000 57 108
10.920000 57 108
10.990000 57 108
11.060000 57 108
10.850000 60 108
10.920000 60 108
10.990000 60 108
11.060000 60 108
10.850000 64 108
10.920000 64 108
10.990000 64 108
11.060000 64 108
11.130000 57 108
11.200000 57 108
11.270000 57 108
11.340000 57 108
11.130000 60 108
11.200000 60 108
11.270000 60 108
11.340000 60 108
11.130000 64 108
11.200000 64 108
11.270000 64 108
11.340000 64 108
11.410000 57 108
11.480000 57 108
11.410000 62 108
11.480000 62 108
11.550000 55 108
11.620000 55 108
11.550000 60 108
11.620000 60 108
11.760000 53 108
11.830000 53 108
11.900000 53 108
11.970000 53 108
11.760000 57 108
11.830000 57 108
11.900000 57 108
11.970000 57 108
11.760000 62 108
11.830000 62 108
11.900000 62 108
11.970000 62 108
12.320000 57 108
12.390000 57 108
12.460000 60 108
12.530000 60 108
12.600000 53 108
12.670000 53 108
12.740000 53 108
12.810000 53 108
12.600000 57 108
12.670000 57 108
12.740000 57 108
12.810000 57 108
12.600000 62 108
12.670000 62 108
12.740000 62 108
12.810000 62 108
12.950000 53 108
13.020000 53 108
13.090000 53 108
13.160000 53 108
12.950000 57 108
13.020000 57 108
13.090000 57 108
13.160000 57 108
12.950000 62 108
13.020000 62 108
13.090000 62 108
13.160000 62 108
13.230000 57 108
13.300000 57 108
13.230000 62 108
13.300000 62 108
13.370000 57 108
13.440000 57 108
13.370000 65 108
13.440000 65 108
13.510000 58 108
13.580000 58 108
13.650000 58 108
13.720000 58 108
13.510000 62 108
13.580000 62 108
13.650000 62 108
13.720000 62 108
13.510000 67 108
13.580000 67 108
13.650000 67 108
13.720000 67 108
13.860000 58 108
13.930000 58 108
14.000000 58 108
14.070000 58 108
13.860000 62 108
13.930000 62 108
14.000000 62 108
14.070000 62 108
13.860000 67 108
13.930000 67 108
14.000000 67 108
14.070000 67 108
14.140000 62 108
14.210000 62 108
14.140000 67 108
14.210000 67 108
14.280000 62 108
14.350000 62 108
14.280000 69 108
14.350000 69 108
14.420000 62 108
14.490000 62 108
14.560000 62 108
14.630000 62 108
14.420000 67 108
14.490000 67 108
14.560000 67 108
14.630000 67 108
14.420000 70 108
14.490000 70 108
14.560000 70 108
14.630000 70 108
14.700000 62 108
14.770000 62 108
14.840000 62 108
14.910000 62 108
14.700000 67 108
14.770000 67 108
14.840000 67 108
14.910000 67 108
14.700000 70 108
14.770000 70 108
14.840000 70 108
14.910000 70 108
15.050000 65 108
15.120000 65 108
15.050000 69 108
15.120000 69 108
15.190000 64 108
15.260000 64 108
15.190000 67 108
15.260000 67 108
15.330000 65 108
15.400000 65 108
15.330000 69 108
15.400000 69 108
15.470000 62 108
15.540000 62 108
15.610000 62 108
15.680000 62 108
15.960000 62 108
16.030000 62 108
16.100000 64 108
16.170000 64 108
16.240000 58 108
16.310000 58 108
16.380000 58 108
16.450000 58 108
16.240000 62 108
16.310000 62 108
16.380000 62 108
16.450000 62 108
16.240000 65 108
16.310000 65 108
