# Complete training with all classical songs only. 256 notes and 64 neurons about 85% accuracy right now
# Use Dataset 0 120 encoder, 20 decoder

Big Epoch: 0 Model Score: 0.617, Model saved at 20:46:18

Big Epoch: 1 Model Score: 0.635, Model saved at 20:48:42

Big Epoch: 2 Model Score: 0.647, Model saved at 20:50:59

Big Epoch: 3 Model Score: 0.651, Model saved at 20:53:17

Big Epoch: 4 Model Score: 0.649, Model saved at 20:55:35

Big Epoch: 5 Model Score: 0.645, Model saved at 20:57:53

Big Epoch: 6 Model Score: 0.642, Model saved at 21:00:08

Big Epoch: 7 Model Score: 0.637, Model saved at 21:02:23

Big Epoch: 8 Model Score: 0.632, Model saved at 21:04:39

Big Epoch: 9 Model Score: 0.626, Model saved at 21:06:55

Big Epoch: 10 Model Score: 0.619, Model saved at 21:09:13

Big Epoch: 11 Model Score: 0.616, Model saved at 21:11:29

Big Epoch: 12 Model Score: 0.607, Model saved at 21:13:46

Big Epoch: 13 Model Score: 0.606, Model saved at 21:16:00

Big Epoch: 14 Model Score: 0.600, Model saved at 21:18:16

Big Epoch: 15 Model Score: 0.596, Model saved at 21:20:32

Big Epoch: 0 Model Score: 0.781, Model saved at 21:55:02

Big Epoch: 1 Model Score: 0.760, Model saved at 21:57:27

Big Epoch: 2 Model Score: 0.743, Model saved at 21:59:52

